marketing_id,month,zone,channel,spend,impressions,clicks,conversions
MKT000139,2023-10,Central,Influencer,12078.85,247166,3918,132
MKT000140,2023-10,Central,Offline/Print,4242.03,106671,2482,70
MKT000141,2023-11,North,Paid Social,229435.62,5134005,120661,2473
MKT000142,2023-11,North,Search,137090.99,3249735,81579,3031
MKT000143,2023-11,North,Influencer,136114.05,2677018,56337,1133
MKT000144,2023-11,North,Offline/Print,63273.2,1230802,22410,1036
MKT000145,2023-11,South,Paid Social,70387.66,1781218,22117,1223
MKT000146,2023-11,South,Search,46977.0,1085478,29447,1175
MKT000147,2023-11,South,Influencer,47101.08,1216585,29029,1130
MKT000148,2023-11,South,Offline/Print,18698.77,378351,12679,947
MKT000149,2023-11,West,Paid Social,85680.15,1699492,21625,1374
MKT000150,2023-11,West,Search,51669.67,1325919,38169,1665
MKT000151,2023-11,West,Influencer,49808.39,1286399,27190,1106
MKT000152,2023-11,West,Offline/Print,17744.9,456941,7510,262
MKT000153,2023-11,East,Paid Social,61321.73,1387043,34564,1504
MKT000154,2023-11,East,Search,49498.31,913775,19022,862
MKT000155,2023-11,East,Influencer,40645.3,882855,30850,1822
MKT000156,2023-11,East,Offline/Print,18251.08,363162,11827,457
MKT000157,2023-11,Central,Paid Social,26864.54,579777,19538,693
MKT000158,2023-11,Central,Search,13732.98,296572,9158,348
MKT000159,2023-11,Central,Influencer,17749.72,427512,14266,721
MKT000160,2023-11,Central,Offline/Print,5953.33,108261,3281,184
MKT000161,2023-12,North,Paid Social,252714.54,4682393,75047,1566
MKT000162,2023-12,North,Search,151884.72,3070757,99443,3980
MKT000163,2023-12,North,Influencer,124700.59,3000102,54664,2789
MKT000164,2023-12,North,Offline/Print,47406.6,891605,13482,659
MKT000165,2023-12,South,Paid Social,57847.98,1365148,37884,2339
MKT000166,2023-12,South,Search,44917.84,1083835,20206,1588
MKT000167,2023-12,South,Influencer,47098.76,894422,24890,1535
MKT000168,2023-12,South,Offline/Print,16486.23,325411,6266,257
MKT000169,2023-12,West,Paid Social,73225.87,1533059,46067,2231
MKT000170,2023-12,West,Search,49450.81,933039,31543,2086
MKT000171,2023-12,West,Influencer,40140.02,733022,10275,328
MKT000172,2023-12,West,Offline/Print,16288.46,370426,10388,535
MKT000173,2023-12,East,Paid Social,67655.95,1329808,23127,1026
MKT000174,2023-12,East,Search,42192.25,772456,19005,930
MKT000175,2023-12,East,Influencer,32914.29,653333,9433,469
MKT000176,2023-12,East,Offline/Print,16645.27,317999,4386,95
MKT000177,2023-12,Central,Paid Social,23523.64,481468,12704,635
MKT000178,2023-12,Central,Search,15482.07,368152,10676,289
MKT000179,2023-12,Central,Influencer,12592.73,246173,6299,302
MKT000180,2023-12,Central,Offline/Print,5796.34,118141,4043,144
MKT000181,2024-01,North,Paid Social,284679.98,6533333,83099,2656
MKT000182,2024-01,North,Search,184896.81,3837897,120886,3533
MKT000183,2024-01,North,Influencer,166252.88,3994017,74648,3298
MKT000184,2024-01,North,Offline/Print,85373.75,1558220,21020,650
MKT000185,2024-01,South,Paid Social,86300.62,2184057,50051,2345
MKT000186,2024-01,South,Search,57810.58,1428217,35776,2114
MKT000187,2024-01,South,Influencer,53732.9,1004665,30299,1638
MKT000188,2024-01,South,Offline/Print,21190.56,452961,9006,291
MKT000189,2024-01,West,Paid Social,109489.16,2639233,74761,4548
MKT000190,2024-01,West,Search,61801.23,1600363,38421,1837
MKT000191,2024-01,West,Influencer,66628.25,1537767,27592,1895
MKT000192,2024-01,West,Offline/Print,27124.18,578515,13859,802
MKT000193,2024-01,East,Paid Social,81708.49,1780513,56168,1545
MKT000194,2024-01,East,Search,50371.95,1168714,35587,2100
MKT000195,2024-01,East,Influencer,51220.74,1273703,28694,1647
MKT000196,2024-01,East,Offline/Print,22319.47,422711,12757,461
MKT000197,2024-01,Central,Paid Social,26254.37,539197,11567,552
MKT000198,2024-01,Central,Search,18516.09,434563,12474,335
MKT000199,2024-01,Central,Influencer,18296.41,461912,6582,211
MKT000200,2024-01,Central,Offline/Print,7278.77,184599,5267,214
MKT000201,2024-02,North,Paid Social,183156.72,3852270,54275,2593
MKT000202,2024-02,North,Search,97269.45,2107009,28098,1167
MKT000203,2024-02,North,Influencer,108088.73,2515333,49492,1044
MKT000204,2024-02,North,Offline/Print,39203.98,929951,19447,619
MKT000205,2024-02,South,Paid Social,59883.34,1385513,34052,1177
MKT000206,2024-02,South,Search,38602.2,769745,24567,1232
MKT000207,2024-02,South,Influencer,29262.5,663620,15026,1209
MKT000208,2024-02,South,Offline/Print,11673.99,255531,5453,401
MKT000209,2024-02,West,Paid Social,62988.41,1290030,34954,1849
MKT000210,2024-02,West,Search,31211.88,592722,19372,947
MKT000211,2024-02,West,Influencer,31156.23,751523,23835,956
MKT000212,2024-02,West,Offline/Print,14564.44,364284,7263,437
MKT000213,2024-02,East,Paid Social,48148.07,1088676,30721,1686
MKT000214,2024-02,East,Search,26946.73,505965,16620,408
MKT000215,2024-02,East,Influencer,33755.96,855123,13805,508
MKT000216,2024-02,East,Offline/Print,13301.33,302380,10004,241
MKT000217,2024-02,Central,Paid Social,15660.23,372697,12408,461
MKT000218,2024-02,Central,Search,10601.04,248914,8661,274
MKT000219,2024-02,Central,Influencer,10902.04,206932,6260,340
MKT000220,2024-02,Central,Offline/Print,4098.82,87668,2555,68
MKT000221,2024-03,North,Paid Social,214273.39,4346632,82486,2618
MKT000222,2024-03,North,Search,109648.43,2140825,65641,3384
MKT000223,2024-03,North,Influencer,136553.89,2669551,91144,2954
MKT000224,2024-03,North,Offline/Print,49976.88,1144840,29836,632
MKT000225,2024-03,South,Paid Social,52774.91,1152224,16779,1036
MKT000226,2024-03,South,Search,42633.47,919336,29440,902
MKT000227,2024-03,South,Influencer,36570.47,713701,10483,367
MKT000228,2024-03,South,Offline/Print,17468.55,366873,9016,621
MKT000229,2024-03,West,Paid Social,61746.48,1218436,19755,585
MKT000230,2024-03,West,Search,35923.56,805931,23073,720
MKT000231,2024-03,West,Influencer,35296.46,748587,19346,1062
MKT000232,2024-03,West,Offline/Print,17977.74,412243,6857,215
MKT000233,2024-03,East,Paid Social,51259.94,1040965,23733,1092
MKT000234,2024-03,East,Search,36114.97,911177,11923,242
MKT000235,2024-03,East,Influencer,40968.48,935643,30273,1065
MKT000236,2024-03,East,Offline/Print,15068.32,341133,10440,429
MKT000237,2024-03,Central,Paid Social,17970.53,464702,11157,630
MKT000238,2024-03,Central,Search,12039.64,305251,6992,267
MKT000239,2024-03,Central,Influencer,11533.05,218333,6866,253
MKT000240,2024-03,Central,Offline/Print,4749.49,92657,1517,54
MKT000241,2024-04,North,Paid Social,187058.52,4052621,126517,4455
MKT000242,2024-04,North,Search,129159.99,2570866,54746,3106
MKT000243,2024-04,North,Influencer,119626.62,2595527,73063,3319
MKT000244,2024-04,North,Offline/Print,44116.33,1086585,34413,1606
MKT000245,2024-04,South,Paid Social,52465.92,1348357,41131,2171
MKT000246,2024-04,South,Search,34842.87,873314,13281,848
MKT000247,2024-04,South,Influencer,38357.22,835463,10064,558
MKT000248,2024-04,South,Offline/Print,14842.25,358583,4646,295
MKT000249,2024-04,West,Paid Social,63119.2,1415699,29107,2030
MKT000250,2024-04,West,Search,35420.96,754169,10221,682
MKT000251,2024-04,West,Influencer,38007.22,686926,23723,1452
MKT000252,2024-04,West,Offline/Print,17489.23,339490,4587,176
MKT000253,2024-04,East,Paid Social,58151.04,1459456,51027,2705
MKT000254,2024-04,East,Search,30458.31,710430,19714,1087
MKT000255,2024-04,East,Influencer,30505.66,627963,11422,290
MKT000256,2024-04,East,Offline/Print,15389.34,388115,11311,454
MKT000257,2024-04,Central,Paid Social,20801.03,374500,12095,256
MKT000258,2024-04,Central,Search,12706.0,273599,4754,156
MKT000259,2024-04,Central,Influencer,13846.32,332778,5894,270
MKT000260,2024-04,Central,Offline/Print,4140.11,91916,1127,55
MKT000261,2024-05,North,Paid Social,241012.82,5418123,111619,3019
MKT000262,2024-05,North,Search,129329.02,2815224,51431,2523
MKT000263,2024-05,North,Influencer,158687.49,3484292,86163,4190
MKT000264,2024-05,North,Offline/Print,53659.94,1320891,36139,1296
MKT000265,2024-05,South,Paid Social,65631.37,1267045,26421,1483
MKT000266,2024-05,South,Search,37543.71,775342,25180,1691
MKT000267,2024-05,South,Influencer,47742.95,1019391,16082,529
MKT000268,2024-05,South,Offline/Print,18413.58,461886,5925,368
MKT000269,2024-05,West,Paid Social,62009.82,1334383,20802,623
MKT000270,2024-05,West,Search,48739.25,978886,22506,1138
MKT000271,2024-05,West,Influencer,49867.91,1006187,24048,1824
MKT000272,2024-05,West,Offline/Print,17518.35,376731,5390,262
MKT000273,2024-05,East,Paid Social,62868.51,1521133,39763,2284
MKT000274,2024-05,East,Search,39066.79,927955,29045,779
MKT000275,2024-05,East,Influencer,45080.32,818707,16211,810
MKT000276,2024-05,East,Offline/Print,17591.66,447073,12956,714
MKT000277,2024-05,Central,Paid Social,20524.0,457855,10542,521
MKT000278,2024-05,Central,Search,14742.49,268740,6910,321
MKT000279,2024-05,Central,Influencer,14165.53,314994,9972,517
MKT000280,2024-05,Central,Offline/Print,5589.6,103016,3070,90
MKT000281,2024-06,North,Paid Social,258122.4,4895039,62349,1866
MKT000282,2024-06,North,Search,136307.77,2521607,53050,2597
MKT000283,2024-06,North,Influencer,138554.14,2907809,37067,2187
MKT000284,2024-06,North,Offline/Print,59806.08,1349278,43993,1770
MKT000285,2024-06,South,Paid Social,63951.95,1177328,27017,1159
MKT000286,2024-06,South,Search,39672.89,1025786,26269,2011
MKT000287,2024-06,South,Influencer,49352.37,1092200,15171,625
MKT000288,2024-06,South,Offline/Print,14682.78,354652,9153,527
MKT000289,2024-06,West,Paid Social,65148.84,1325936,22750,669
MKT000290,2024-06,West,Search,41507.82,838581,25821,844
MKT000291,2024-06,West,Influencer,40052.55,760919,18490,557
MKT000292,2024-06,West,Offline/Print,19763.37,483450,15870,469
MKT000293,2024-06,East,Paid Social,57921.85,1117392,21641,476
MKT000294,2024-06,East,Search,40962.1,847856,27824,1243
MKT000295,2024-06,East,Influencer,45287.68,1166847,20583,665
MKT000296,2024-06,East,Offline/Print,14253.97,366747,7788,349
MKT000297,2024-06,Central,Paid Social,19764.02,438565,7834,297
MKT000298,2024-06,Central,Search,15683.22,367630,4923,190
MKT000299,2024-06,Central,Influencer,12847.24,325208,4395,147
MKT000300,2024-06,Central,Offline/Print,5660.11,133481,2110,51
MKT000301,2024-07,North,Paid Social,271319.4,5507594,174506,9706
MKT000302,2024-07,North,Search,158475.83,2958337,95077,3760
MKT000303,2024-07,North,Influencer,177982.16,4439334,122930,4690
MKT000304,2024-07,North,Offline/Print,72954.96,1609138,34172,1353
MKT000305,2024-07,South,Paid Social,88797.2,2103370,45281,2259
MKT000306,2024-07,South,Search,47323.78,1056054,15451,432
MKT000307,2024-07,South,Influencer,45800.03,1143579,17813,1231
MKT000308,2024-07,South,Offline/Print,19801.58,473559,7553,483
MKT000309,2024-07,West,Paid Social,94777.38,1870341,30692,1777
MKT000310,2024-07,West,Search,49751.73,1103230,25269,929
MKT000311,2024-07,West,Influencer,51676.77,985628,30158,1772
MKT000312,2024-07,West,Offline/Print,23745.33,554448,19306,1176
MKT000313,2024-07,East,Paid Social,79189.21,1468690,32437,934
MKT000314,2024-07,East,Search,51247.7,1235741,36824,1126
MKT000315,2024-07,East,Influencer,46692.7,975716,17057,601
MKT000316,2024-07,East,Offline/Print,16034.56,370666,11345,240
MKT000317,2024-07,Central,Paid Social,26248.95,670634,12393,675
MKT000318,2024-07,Central,Search,14405.19,286579,5725,326
MKT000319,2024-07,Central,Influencer,17986.94,377829,4736,277
MKT000320,2024-07,Central,Offline/Print,6928.58,137261,3244,175
MKT000321,2024-08,North,Paid Social,244823.85,6018661,175844,7868
MKT000322,2024-08,North,Search,157786.27,3592138,63805,2318
MKT000323,2024-08,North,Influencer,170587.06,3393397,67041,1525
MKT000324,2024-08,North,Offline/Print,69053.13,1485730,32931,1953
MKT000325,2024-08,South,Paid Social,95513.33,1756991,21773,843
MKT000326,2024-08,South,Search,52479.67,1059355,16695,781
MKT000327,2024-08,South,Influencer,56833.82,1399143,22614,1587
MKT000328,2024-08,South,Offline/Print,22020.49,543761,10478,697
MKT000329,2024-08,West,Paid Social,97623.06,1879141,44563,2803
MKT000330,2024-08,West,Search,52232.69,1259207,29775,1982
MKT000331,2024-08,West,Influencer,49064.44,957773,31461,2116
MKT000332,2024-08,West,Offline/Print,20374.82,433606,9003,423
MKT000333,2024-08,East,Paid Social,84803.14,1671834,58304,1596
MKT000334,2024-08,East,Search,46575.49,1089205,25093,1491
MKT000335,2024-08,East,Influencer,53726.89,1373103,25149,833
MKT000336,2024-08,East,Offline/Print,18240.78,471599,11069,618
MKT000337,2024-08,Central,Paid Social,27200.86,671104,21473,859
MKT000338,2024-08,Central,Search,16469.68,405635,13765,534
MKT000339,2024-08,Central,Influencer,17652.03,443690,9745,250
MKT000340,2024-08,Central,Offline/Print,6739.7,155686,2676,92
MKT000341,2024-09,North,Paid Social,156923.69,2845981,86740,3603
MKT000342,2024-09,North,Search,98209.54,2095436,42691,2325
MKT000343,2024-09,North,Influencer,112732.57,2169713,53823,2843
MKT000344,2024-09,North,Offline/Print,47253.76,872800,21796,1108
MKT000345,2024-09,South,Paid Social,48182.28,1138190,30494,1693
MKT000346,2024-09,South,Search,37621.44,797670,16084,414
MKT000347,2024-09,South,Influencer,39326.95,1006404,12566,609
MKT000348,2024-09,South,Offline/Print,12063.5,223935,3574,151
MKT000349,2024-09,West,Paid Social,58906.14,1365925,28451,1391
MKT000350,2024-09,West,Search,35082.26,749225,23311,993
MKT000351,2024-09,West,Influencer,35501.27,689071,21513,1440
MKT000352,2024-09,West,Offline/Print,12950.76,238992,5667,452
MKT000353,2024-09,East,Paid Social,45456.21,988800,18219,861
MKT000354,2024-09,East,Search,34612.37,785663,10277,425
MKT000355,2024-09,East,Influencer,28311.33,557221,12011,387
MKT000356,2024-09,East,Offline/Print,11414.12,208238,4699,230
MKT000357,2024-09,Central,Paid Social,19626.56,360277,12589,478
MKT000358,2024-09,Central,Search,11459.49,241540,4645,97
MKT000359,2024-09,Central,Influencer,12861.0,249770,7884,259
MKT000360,2024-09,Central,Offline/Print,5223.3,107097,3429,147
MKT000361,2024-10,North,Paid Social,260571.92,6674083,149734,6826
MKT000362,2024-10,North,Search,155617.3,2909291,42433,1241
MKT000363,2024-10,North,Influencer,181317.53,3410160,90780,3453
MKT000364,2024-10,North,Offline/Print,75929.05,1698463,46096,1965
MKT000365,2024-10,South,Paid Social,98869.33,2072207,28834,1949
MKT000366,2024-10,South,Search,49505.68,1025497,35075,2517
MKT000367,2024-10,South,Influencer,61333.84,1240454,27943,1548
MKT000368,2024-10,South,Offline/Print,23120.56,502051,12483,924
MKT000369,2024-10,West,Paid Social,98548.17,2460514,56278,4171
MKT000370,2024-10,West,Search,64897.6,1213638,33606,2043
MKT000371,2024-10,West,Influencer,54360.32,1257427,29829,1398
MKT000372,2024-10,West,Offline/Print,20883.48,448988,5975,206
MKT000373,2024-10,East,Paid Social,70136.42,1285288,17826,397
MKT000374,2024-10,East,Search,46082.48,838464,16477,599
MKT000375,2024-10,East,Influencer,53106.59,1245143,43082,1199
MKT000376,2024-10,East,Offline/Print,20418.11,478252,13372,406
MKT000377,2024-10,Central,Paid Social,27275.59,497959,11095,357
MKT000378,2024-10,Central,Search,16650.74,332083,7382,151
MKT000379,2024-10,Central,Influencer,17671.1,376871,8487,398
MKT000380,2024-10,Central,Offline/Print,7200.37,174545,6081,154
MKT000381,2024-11,North,Paid Social,306464.24,6077624,199087,6184
MKT000382,2024-11,North,Search,188936.36,3436558,57772,2932
MKT000383,2024-11,North,Influencer,216456.68,4465933,128962,6676
MKT000384,2024-11,North,Offline/Print,84634.02,1950600,30550,1045
MKT000385,2024-11,South,Paid Social,91682.14,1800501,29398,1978
MKT000386,2024-11,South,Search,65265.93,1293378,39677,1157
MKT000387,2024-11,South,Influencer,58325.51,1127633,37007,2618
MKT000388,2024-11,South,Offline/Print,24048.81,507725,13284,395
MKT000389,2024-11,West,Paid Social,110660.45,2092338,33817,1112
MKT000390,2024-11,West,Search,61185.57,1553890,41617,1846
MKT000391,2024-11,West,Influencer,55172.67,1207615,18094,976
MKT000392,2024-11,West,Offline/Print,21351.98,438184,11913,577
MKT000393,2024-11,East,Paid Social,73768.16,1695613,28386,850
MKT000394,2024-11,East,Search,48513.65,1163744,27884,775
MKT000395,2024-11,East,Influencer,49773.0,1277085,19373,1004
MKT000396,2024-11,East,Offline/Print,23577.83,595465,12052,457
MKT000397,2024-11,Central,Paid Social,28005.38,681450,21906,637
MKT000398,2024-11,Central,Search,20602.06,466229,10784,328
MKT000399,2024-11,Central,Influencer,20924.75,407760,12258,668
MKT000400,2024-11,Central,Offline/Print,8682.98,165184,3691,157
MKT000401,2024-12,North,Paid Social,215943.45,4514952,135613,7651
MKT000402,2024-12,North,Search,126556.14,3066673,41454,1286
MKT000403,2024-12,North,Influencer,113952.46,2792458,82631,4556
MKT000404,2024-12,North,Offline/Print,56176.74,1424665,43523,1571
MKT000405,2024-12,South,Paid Social,60445.5,1146887,32304,2291
MKT000406,2024-12,South,Search,37022.21,688544,10929,781
MKT000407,2024-12,South,Influencer,36179.35,881023,21995,618
MKT000408,2024-12,South,Offline/Print,15778.42,306176,5789,229
MKT000409,2024-12,West,Paid Social,70919.5,1686779,26288,1229
MKT000410,2024-12,West,Search,43310.06,1054485,29630,2122
MKT000411,2024-12,West,Influencer,39944.71,737776,13655,908
MKT000412,2024-12,West,Offline/Print,16081.83,345657,11849,424
MKT000413,2024-12,East,Paid Social,61300.57,1586772,51387,2945
MKT000414,2024-12,East,Search,40596.23,1044609,19456,1020
MKT000415,2024-12,East,Influencer,38971.98,708825,20010,497
MKT000416,2024-12,East,Offline/Print,14157.42,320835,9943,440
MKT000417,2024-12,Central,Paid Social,23215.42,572684,10787,610
MKT000418,2024-12,Central,Search,13362.89,313010,4832,231
MKT000419,2024-12,Central,Influencer,11338.23,256436,3199,102
MKT000420,2024-12,Central,Offline/Print,4505.36,92079,3150,142
MKT000421,2025-01,North,Paid Social,311218.11,7893680,149426,3037
MKT000422,2025-01,North,Search,213568.1,3972435,128195,6784
MKT000423,2025-01,North,Influencer,166043.53,3399607,85373,1808
MKT000424,2025-01,North,Offline/Print,70773.65,1398510,36932,1394
MKT000425,2025-01,South,Paid Social,90516.35,2141611,67780,2806
MKT000426,2025-01,South,Search,56165.48,1174713,36654,1524
MKT000427,2025-01,South,Influencer,54009.64,1220791,32637,1340
MKT000428,2025-01,South,Offline/Print,20768.8,504980,14144,773
MKT000429,2025-01,West,Paid Social,105287.5,1962085,33436,1926
MKT000430,2025-01,West,Search,52441.23,1213552,38937,2092
