po_id,supplier_id,category,month,units_shipped,shipment_value,lead_time_days,defect_rate
PO000111,SUP03,Makeup,2024-10,236,45607.6,24,0.0136
PO000112,SUP01,Skincare,2024-10,12352,2625177.91,43,0.0267
PO000113,SUP02,Skincare,2024-10,21,5167.74,8,0.0102
PO000114,SUP03,Skincare,2024-10,14,3574.93,22,0.0064
PO000115,SUP01,Makeup,2024-11,126860,23742395.23,42,0.0239
PO000116,SUP02,Makeup,2024-11,328,69710.0,8,0.003
PO000117,SUP03,Makeup,2024-11,152,29856.04,21,0.0093
PO000118,SUP01,Skincare,2024-11,12205,2635527.32,51,0.0214
PO000119,SUP02,Skincare,2024-11,34,8883.32,7,0.0103
PO000120,SUP03,Skincare,2024-11,23,4696.17,30,0.0054
PO000121,SUP01,Makeup,2024-12,94057,24312208.28,38,0.0322
PO000122,SUP02,Makeup,2024-12,245,63019.15,8,0.0098
PO000123,SUP03,Makeup,2024-12,166,39723.8,24,0.0102
PO000124,SUP01,Skincare,2024-12,10723,2691740.88,44,0.0238
PO000125,SUP02,Skincare,2024-12,58,11594.24,9,0.0077
PO000126,SUP03,Skincare,2024-12,45,9437.24,22,0.01
PO000127,SUP01,Makeup,2025-01,101228,24439644.39,40,0.0117
PO000128,SUP02,Makeup,2025-01,309,80195.97,10,0.0118
PO000129,SUP03,Makeup,2025-01,231,58663.11,25,0.0078
PO000130,SUP01,Skincare,2025-01,11799,2708980.55,40,0.0211
PO000131,SUP02,Skincare,2025-01,61,12925.21,10,0.0063
PO000132,SUP03,Skincare,2025-01,45,9039.07,20,0.0066
PO000133,SUP01,Makeup,2025-02,90656,21881269.79,26,0.0247
PO000134,SUP02,Makeup,2025-02,431,104214.35,8,0.0058
PO000135,SUP03,Makeup,2025-02,319,73355.28,18,0.0103
PO000136,SUP01,Skincare,2025-02,10630,2438352.09,40,0.0265
PO000137,SUP02,Skincare,2025-02,47,9183.69,8,0.0044
PO000138,SUP03,Skincare,2025-02,13,3446.38,25,0.0083
PO000139,SUP01,Makeup,2025-03,100854,21435284.0,33,0.0268
PO000140,SUP02,Makeup,2025-03,514,115261.81,10,0.009
PO000141,SUP03,Makeup,2025-03,197,51077.02,13,0.0081
PO000142,SUP01,Skincare,2025-03,11920,2383880.83,49,0.0145
PO000143,SUP02,Skincare,2025-03,49,10427.66,6,0.0088
PO000144,SUP03,Skincare,2025-03,23,5871.82,25,0.0079
