customer_id,signup_date,city,acquisition_channel,state,zone,tier,first_purchase_date
C100029,2024-07-08,Pune,Paid Social,Maharashtra,West,1,2023-11-06
C100030,2024-06-27,Patna,Referral,Bihar,East,2,2023-09-29
C100031,2023-12-27,Guwahati,Paid Social,Assam,East,3,2024-03-08
C100032,2023-04-18,Bhubaneswar,Influencer,Odisha,East,2,2023-09-16
C100033,2023-11-08,Bhopal,Paid Social,Madhya Pradesh,Central,2,2024-01-24
C100034,2024-10-23,Gurgaon,Influencer,Haryana,North,1,2024-05-24
C100035,2023-11-16,Pune,Paid Social,Maharashtra,West,1,2023-06-29
C100036,2024-03-31,Kochi,Organic Search,Kerala,South,2,
C100037,2023-04-06,Ahmedabad,Influencer,Gujarat,West,1,2023-07-26
C100038,2025-01-06,Pune,Influencer,Maharashtra,West,1,2023-08-02
C100039,2023-10-03,Lucknow,Paid Social,Uttar Pradesh,North,2,2023-05-01
C100040,2024-01-13,Agra,Influencer,Uttar Pradesh,North,3,2023-06-22
C100041,2025-01-31,Noida,Organic Search,Uttar Pradesh,North,1,2024-04-25
C100042,2024-07-05,Lucknow,Offline-to-Online,Uttar Pradesh,North,2,2024-04-25
C100043,2025-01-14,Jodhpur,Organic Search,Rajasthan,North,3,2024-10-03
C100044,2024-09-23,Coimbatore,Paid Social,Tamil Nadu,South,2,2025-01-25
C100045,2024-11-19,Gurgaon,Paid Social,Haryana,North,1,2024-05-14
C100046,2023-07-29,Jaipur,Referral,Rajasthan,North,2,
C100047,2024-07-25,Patna,Organic Search,Bihar,East,2,2024-02-24
C100048,2024-07-04,Chandigarh,Paid Social,Punjab,North,2,2024-09-23
C100049,2025-01-27,Agra,Referral,Uttar Pradesh,North,3,2024-05-09
C100050,2024-03-25,Vadodara,Referral,Gujarat,West,3,2023-05-16
C100051,2024-08-29,Madurai,Organic Search,Tamil Nadu,South,3,2023-07-01
C100052,2023-06-21,Vadodara,Influencer,Gujarat,West,3,2023-06-23
C100053,2024-04-14,Jodhpur,Organic Search,Rajasthan,North,3,2023-06-30
C100054,2024-02-26,Ranchi,Paid Social,Jharkhand,East,3,2023-05-11
C100055,2023-09-29,Vijayawada,Referral,Andhra Pradesh,South,3,2024-01-10
C100056,2024-12-29,Bhubaneswar,Offline-to-Online,Odisha,East,2,2023-09-26
C100057,2024-04-08,Kochi,Paid Social,Kerala,South,2,2024-12-10
C100058,2025-03-21,Kolkata,Paid Social,West Bengal,East,1,2024-12-15
C100059,2024-08-24,Dehradun,Paid Social,Uttarakhand,North,3,2024-11-14
C100060,2024-09-02,Lucknow,Organic Search,Uttar Pradesh,North,2,2024-06-19
C100061,2024-09-22,Raipur,Paid Social,Chhattisgarh,Central,3,2023-08-09
C100062,2024-10-14,Jaipur,Organic Search,Rajasthan,North,2,
C100063,2023-09-29,Ranchi,Organic Search,Jharkhand,East,3,2023-04-01
C100064,2024-05-20,Bengaluru,Referral,Karnataka,South,1,2023-07-09
C100065,2023-12-20,Kochi,Organic Search,Kerala,South,2,2023-04-24
C100066,2024-04-24,Delhi,Offline-to-Online,Delhi,North,1,2023-04-10
C100067,2023-08-04,Gurgaon,Referral,Haryana,North,1,2025-01-10
C100068,2025-03-16,Bhopal,Organic Search,Madhya Pradesh,Central,2,2023-04-08
C100069,2023-11-29,Hyderabad,Paid Social,Telangana,South,1,2024-05-19
C100070,2024-10-11,Jodhpur,Paid Social,Rajasthan,North,3,2023-11-25
C100071,2024-02-08,Mumbai,Organic Search,Maharashtra,West,1,2025-01-01
C100072,2025-01-28,Gurgaon,Paid Social,Haryana,North,1,2023-08-21
C100073,2024-10-06,Chennai,Influencer,Tamil Nadu,South,1,2024-04-27
C100074,2023-09-10,Ahmedabad,Organic Search,Gujarat,West,1,2023-10-08
C100075,2025-01-13,Bengaluru,Referral,Karnataka,South,1,2023-08-10
C100076,2025-03-05,Jaipur,Influencer,Rajasthan,North,2,2023-09-12
C100077,2025-02-12,Vadodara,Paid Social,Gujarat,West,3,2024-04-07
C100078,2024-08-12,Ranchi,Organic Search,Jharkhand,East,3,2024-02-11
C100079,2023-09-24,Pune,Paid Social,Maharashtra,West,1,2023-10-27
C100080,2023-11-08,Kolkata,Influencer,West Bengal,East,1,2023-08-21
C100081,2025-02-24,Vijayawada,Influencer,Andhra Pradesh,South,3,2023-10-07
C100082,2024-08-01,Chandigarh,Organic Search,Punjab,North,2,2023-05-11
C100083,2023-10-28,Noida,Paid Social,Uttar Pradesh,North,1,2024-02-09
C100084,2025-02-02,Guwahati,Organic Search,Assam,East,3,2023-11-08
C100085,2024-09-24,Patna,Organic Search,Bihar,East,2,2023-06-01
C100086,2024-08-12,Delhi,Offline-to-Online,Delhi,North,1,2024-01-20
C100087,2024-04-05,Kolkata,Offline-to-Online,West Bengal,East,1,2023-04-06
C100088,2024-04-30,Nashik,Organic Search,Maharashtra,West,3,2024-01-02
C100089,2023-12-20,Chandigarh,Paid Social,Punjab,North,2,2024-06-22
C100090,2023-05-25,Guwahati,Influencer,Assam,East,3,2023-08-13
C100091,2025-01-29,Hyderabad,Referral,Telangana,South,1,2025-01-10
C100092,2024-06-08,Lucknow,Organic Search,Uttar Pradesh,North,2,2023-08-10
C100093,2024-07-29,Bengaluru,Paid Social,Karnataka,South,1,2023-08-14
C100094,2024-02-25,Chandigarh,Organic Search,Punjab,North,2,2023-06-16
C100095,2024-11-25,Coimbatore,Referral,Tamil Nadu,South,2,2023-11-17
C100096,2023-05-07,Bhopal,Organic Search,Madhya Pradesh,Central,2,2023-05-18
C100097,2024-04-02,Delhi,Organic Search,Delhi,North,1,
C100098,2023-05-14,Bengaluru,Paid Social,Karnataka,South,1,2023-05-28
C100099,2023-09-01,Bengaluru,Organic Search,Karnataka,South,1,2023-04-29
C100100,2025-03-16,Delhi,Influencer,Delhi,North,1,
C100101,2024-10-03,Nashik,Organic Search,Maharashtra,West,3,2023-12-28
C100102,2024-05-12,Dehradun,Offline-to-Online,Uttarakhand,North,3,
C100103,2024-07-14,Bhubaneswar,Paid Social,Odisha,East,2,2023-06-03
C100104,2025-01-28,Ranchi,Paid Social,Jharkhand,East,3,2023-07-27
C100105,2024-03-13,Vijayawada,Paid Social,Andhra Pradesh,South,3,2023-11-05
C100106,2024-08-24,Jaipur,Organic Search,Rajasthan,North,2,
C100107,2024-10-18,Jodhpur,Influencer,Rajasthan,North,3,2024-05-27
C100108,2024-03-21,Gurgaon,Referral,Haryana,North,1,2024-01-30
C100109,2024-07-11,Vijayawada,Offline-to-Online,Andhra Pradesh,South,3,2024-06-27
C100110,2024-12-02,Mumbai,Influencer,Maharashtra,West,1,2023-10-01
C100111,2025-02-15,Jaipur,Influencer,Rajasthan,North,2,2023-05-09
C100112,2023-09-30,Nagpur,Organic Search,Maharashtra,West,2,2023-08-11
C100113,2025-02-27,Vijayawada,Organic Search,Andhra Pradesh,South,3,2023-05-15
C100114,2023-04-08,Raipur,Paid Social,Chhattisgarh,Central,3,2023-04-08
C100115,2024-11-26,Hyderabad,Paid Social,Telangana,South,1,2023-12-04
C100116,2024-12-26,Bengaluru,Referral,Karnataka,South,1,2023-05-28
C100117,2023-09-15,Ranchi,Paid Social,Jharkhand,East,3,2023-12-30
C100118,2024-05-06,Hyderabad,Influencer,Telangana,South,1,
C100119,2024-12-29,Vadodara,Offline-to-Online,Gujarat,West,3,2023-11-19
C100120,2023-04-22,Madurai,Paid Social,Tamil Nadu,South,3,2023-05-17
C100121,2024-09-16,Chandigarh,Referral,Punjab,North,2,2024-03-01
C100122,2024-12-17,Patna,Organic Search,Bihar,East,2,2023-08-29
C100123,2024-07-07,Bhubaneswar,Organic Search,Odisha,East,2,2023-04-15
C100124,2024-11-11,Jaipur,Paid Social,Rajasthan,North,2,
C100125,2023-12-09,Jodhpur,Influencer,Rajasthan,North,3,
C100126,2023-11-14,Madurai,Paid Social,Tamil Nadu,South,3,2024-08-14
C100127,2024-03-27,Jaipur,Offline-to-Online,Rajasthan,North,2,2023-11-24
C100128,2023-10-27,Hyderabad,Paid Social,Telangana,South,1,2024-03-09
C100129,2024-03-14,Jodhpur,Referral,Rajasthan,North,3,2023-10-11
C100130,2025-03-06,Kochi,Organic Search,Kerala,South,2,2023-11-19
C100131,2024-08-14,Bengaluru,Influencer,Karnataka,South,1,2023-04-24
C100132,2024-03-10,Guwahati,Influencer,Assam,East,3,2023-04-03
C100133,2024-01-16,Guwahati,Referral,Assam,East,3,2023-11-21
C100134,2025-03-08,Dehradun,Influencer,Uttarakhand,North,3,2024-04-02
C100135,2024-05-23,Mumbai,Paid Social,Maharashtra,West,1,2023-06-25
C100136,2025-03-22,Indore,Organic Search,Madhya Pradesh,Central,2,2023-05-20
C100137,2024-07-09,Chandigarh,Organic Search,Punjab,North,2,2023-06-07
C100138,2024-07-13,Chennai,Paid Social,Tamil Nadu,South,1,2024-01-24
C100139,2025-02-09,Dehradun,Influencer,Uttarakhand,North,3,2024-08-15
C100140,2024-11-20,Agra,Organic Search,Uttar Pradesh,North,3,2023-04-02
C100141,2024-08-19,Madurai,Influencer,Tamil Nadu,South,3,2023-11-05
C100142,2024-05-11,Delhi,Influencer,Delhi,North,1,
C100143,2025-01-30,Chennai,Paid Social,Tamil Nadu,South,1,2023-07-01
C100144,2024-05-01,Jodhpur,Referral,Rajasthan,North,3,2023-06-04
C100145,2025-02-22,Dehradun,Organic Search,Uttarakhand,North,3,2023-06-03
C100146,2023-07-02,Hyderabad,Offline-to-Online,Telangana,South,1,2023-08-30
C100147,2024-05-13,Jaipur,Paid Social,Rajasthan,North,2,2024-03-30
C100148,2024-07-12,Chandigarh,Organic Search,Punjab,North,2,2025-03-20
C100149,2025-03-08,Patna,Paid Social,Bihar,East,2,2023-04-23
C100150,2023-12-30,Coimbatore,Paid Social,Tamil Nadu,South,2,2023-10-13
C100151,2024-12-24,Hyderabad,Influencer,Telangana,South,1,2023-04-21
C100152,2024-10-14,Jodhpur,Paid Social,Rajasthan,North,3,2024-02-09
C100153,2024-11-06,Bhopal,Paid Social,Madhya Pradesh,Central,2,2023-04-03
C100154,2024-09-17,Nagpur,Paid Social,Maharashtra,West,2,2023-04-21
C100155,2025-03-18,Noida,Organic Search,Uttar Pradesh,North,1,2023-09-19
C100156,2024-03-04,Nagpur,Influencer,Maharashtra,West,2,2023-11-26
C100157,2024-04-21,Nashik,Organic Search,Maharashtra,West,3,2023-07-14
C100158,2023-11-18,Coimbatore,Referral,Tamil Nadu,South,2,2024-10-04
C100159,2023-06-10,Madurai,Organic Search,Tamil Nadu,South,3,2023-09-07
C100160,2023-11-27,Dehradun,Paid Social,Uttarakhand,North,3,
C100161,2025-02-18,Surat,Paid Social,Gujarat,West,2,2023-12-14
C100162,2025-01-11,Lucknow,Influencer,Uttar Pradesh,North,2,2023-09-13
C100163,2023-08-21,Dehradun,Influencer,Uttarakhand,North,3,
C100164,2024-09-02,Ahmedabad,Offline-to-Online,Gujarat,West,1,2023-08-08
C100165,2024-06-15,Patna,Offline-to-Online,Bihar,East,2,2024-08-25
C100166,2024-08-27,Patna,Referral,Bihar,East,2,2024-07-07
C100167,2024-10-04,Noida,Organic Search,Uttar Pradesh,North,1,2023-11-29
C100168,2024-02-13,Ranchi,Paid Social,Jharkhand,East,3,2023-09-13
C100169,2025-03-13,Dehradun,Organic Search,Uttarakhand,North,3,
C100170,2024-06-07,Lucknow,Paid Social,Uttar Pradesh,North,2,2023-06-02
C100171,2024-09-16,Coimbatore,Referral,Tamil Nadu,South,2,2023-09-22
C100172,2024-09-20,Nashik,Paid Social,Maharashtra,West,3,2023-10-12
C100173,2023-10-31,Hyderabad,Organic Search,Telangana,South,1,2023-05-27
C100174,2023-06-24,Patna,Paid Social,Bihar,East,2,2023-09-14
C100175,2024-05-01,Bengaluru,Paid Social,Karnataka,South,1,2023-04-01
C100176,2024-12-02,Vijayawada,Organic Search,Andhra Pradesh,South,3,2023-07-25
C100177,2024-12-29,Coimbatore,Paid Social,Tamil Nadu,South,2,2023-05-03
C100178,2024-11-13,Chandigarh,Organic Search,Punjab,North,2,
C100179,2023-08-22,Nagpur,Organic Search,Maharashtra,West,2,2023-12-16
C100180,2025-02-17,Lucknow,Paid Social,Uttar Pradesh,North,2,
C100181,2024-12-22,Vijayawada,Organic Search,Andhra Pradesh,South,3,2023-05-30
C100182,2025-01-30,Lucknow,Organic Search,Uttar Pradesh,North,2,2023-05-13
C100183,2024-07-14,Ahmedabad,Paid Social,Gujarat,West,1,2023-10-19
C100184,2025-02-18,Bengaluru,Organic Search,Karnataka,South,1,2023-11-03
C100185,2023-06-05,Pune,Influencer,Maharashtra,West,1,2023-04-16
C100186,2023-05-14,Chandigarh,Influencer,Punjab,North,2,2024-08-11
C100187,2023-04-30,Madurai,Organic Search,Tamil Nadu,South,3,2023-06-06
C100188,2023-12-31,Bhubaneswar,Offline-to-Online,Odisha,East,2,2023-07-24
C100189,2023-12-28,Ahmedabad,Paid Social,Gujarat,West,1,2023-07-28
C100190,2023-11-04,Delhi,Influencer,Delhi,North,1,2024-06-07
C100191,2024-08-10,Lucknow,Paid Social,Uttar Pradesh,North,2,2025-02-22
C100192,2023-05-26,Nagpur,Offline-to-Online,Maharashtra,West,2,2023-04-02
C100193,2024-08-25,Bhopal,Organic Search,Madhya Pradesh,Central,2,2023-04-05
C100194,2023-10-14,Madurai,Organic Search,Tamil Nadu,South,3,2023-12-12
C100195,2024-10-15,Surat,Influencer,Gujarat,West,2,2023-07-29
C100196,2023-05-01,Pune,Paid Social,Maharashtra,West,1,2023-04-15
C100197,2024-02-16,Bhopal,Influencer,Madhya Pradesh,Central,2,2023-11-14
C100198,2025-03-02,Vijayawada,Offline-to-Online,Andhra Pradesh,South,3,2023-05-31
C100199,2024-07-24,Lucknow,Organic Search,Uttar Pradesh,North,2,2023-05-12
C100200,2024-12-27,Jaipur,Organic Search,Rajasthan,North,2,2024-08-17
C100201,2024-10-03,Ranchi,Paid Social,Jharkhand,East,3,2023-10-24
C100202,2024-09-06,Gurgaon,Organic Search,Haryana,North,1,2023-08-22
C100203,2023-11-07,Ahmedabad,Referral,Gujarat,West,1,2023-04-01
C100204,2024-08-15,Pune,Offline-to-Online,Maharashtra,West,1,
C100205,2023-05-27,Patna,Offline-to-Online,Bihar,East,2,2023-05-21
C100206,2024-12-22,Hyderabad,Referral,Telangana,South,1,2023-06-16
C100207,2025-03-12,Dehradun,Influencer,Uttarakhand,North,3,2025-01-17
C100208,2025-01-18,Patna,Offline-to-Online,Bihar,East,2,2024-06-14
C100209,2023-06-10,Ahmedabad,Offline-to-Online,Gujarat,West,1,2024-06-30
C100210,2024-03-09,Raipur,Paid Social,Chhattisgarh,Central,3,2023-04-06
C100211,2024-02-22,Surat,Paid Social,Gujarat,West,2,2023-11-14
C100212,2023-08-21,Surat,Paid Social,Gujarat,West,2,2023-12-05
C100213,2024-09-15,Chennai,Paid Social,Tamil Nadu,South,1,
C100214,2024-12-19,Gurgaon,Organic Search,Haryana,North,1,2023-05-02
C100215,2024-02-18,Ranchi,Influencer,Jharkhand,East,3,2023-08-14
C100216,2025-01-23,Madurai,Influencer,Tamil Nadu,South,3,2024-01-11
C100217,2024-12-19,Dehradun,Influencer,Uttarakhand,North,3,2023-10-17
C100218,2023-09-07,Surat,Offline-to-Online,Gujarat,West,2,2023-09-19
C100219,2024-12-03,Bhopal,Paid Social,Madhya Pradesh,Central,2,2023-06-25
C100220,2025-02-02,Surat,Influencer,Gujarat,West,2,2024-07-01
C100221,2023-11-13,Jaipur,Paid Social,Rajasthan,North,2,2023-05-27
C100222,2024-08-14,Dehradun,Organic Search,Uttarakhand,North,3,
C100223,2024-09-22,Noida,Paid Social,Uttar Pradesh,North,1,2023-05-20
C100224,2024-09-05,Dehradun,Paid Social,Uttarakhand,North,3,2023-08-23
C100225,2023-08-03,Pune,Organic Search,Maharashtra,West,1,2023-05-30
C100226,2024-10-05,Pune,Organic Search,Maharashtra,West,1,2024-06-06
C100227,2024-09-18,Gurgaon,Paid Social,Haryana,North,1,
C100228,2025-01-02,Chennai,Organic Search,Tamil Nadu,South,1,2024-01-24
C100229,2024-12-23,Noida,Organic Search,Uttar Pradesh,North,1,2024-02-21
C100230,2024-02-29,Jaipur,Organic Search,Rajasthan,North,2,2023-07-21
C100231,2024-11-09,Surat,Referral,Gujarat,West,2,2023-05-02
C100232,2025-01-25,Bhubaneswar,Influencer,Odisha,East,2,2023-04-13
C100233,2025-02-07,Vadodara,Influencer,Gujarat,West,3,2023-12-10
C100234,2023-10-10,Raipur,Organic Search,Chhattisgarh,Central,3,2023-07-06
C100235,2023-05-09,Patna,Organic Search,Bihar,East,2,2023-04-10
C100236,2024-09-29,Raipur,Influencer,Chhattisgarh,Central,3,2023-04-04
C100237,2023-11-28,Nagpur,Organic Search,Maharashtra,West,2,2024-02-17
C100238,2024-08-08,Vijayawada,Organic Search,Andhra Pradesh,South,3,2024-09-14
C100239,2025-03-05,Surat,Organic Search,Gujarat,West,2,
C100240,2024-04-08,Indore,Influencer,Madhya Pradesh,Central,2,2023-05-13
C100241,2023-12-31,Gurgaon,Influencer,Haryana,North,1,2024-07-03
C100242,2024-05-31,Vijayawada,Organic Search,Andhra Pradesh,South,3,2024-08-12
C100243,2024-10-03,Dehradun,Offline-to-Online,Uttarakhand,North,3,2023-08-19
C100244,2023-08-08,Patna,Referral,Bihar,East,2,2023-06-04
C100245,2024-04-09,Kolkata,Referral,West Bengal,East,1,2024-08-29
C100246,2023-09-12,Chandigarh,Referral,Punjab,North,2,2023-11-14
C100247,2024-10-06,Hyderabad,Referral,Telangana,South,1,2023-09-04
C100248,2025-01-06,Chandigarh,Organic Search,Punjab,North,2,2024-04-26
C100249,2024-04-06,Jodhpur,Paid Social,Rajasthan,North,3,
C100250,2024-04-02,Hyderabad,Paid Social,Telangana,South,1,2023-05-16
C100251,2024-07-24,Kolkata,Paid Social,West Bengal,East,1,2023-06-27
C100252,2023-11-29,Lucknow,Paid Social,Uttar Pradesh,North,2,
C100253,2023-12-27,Vadodara,Organic Search,Gujarat,West,3,2024-03-21
C100254,2024-03-02,Ahmedabad,Organic Search,Gujarat,West,1,2024-01-23
C100255,2024-06-01,Ahmedabad,Paid Social,Gujarat,West,1,2023-05-26
C100256,2023-07-17,Chandigarh,Paid Social,Punjab,North,2,2023-07-28
C100257,2024-11-25,Jodhpur,Paid Social,Rajasthan,North,3,2024-03-23
C100258,2024-08-18,Kolkata,Offline-to-Online,West Bengal,East,1,2023-06-12
C100259,2024-02-07,Lucknow,Paid Social,Uttar Pradesh,North,2,2024-11-01
C100260,2023-07-13,Kochi,Paid Social,Kerala,South,2,2023-06-13
C100261,2024-12-01,Pune,Paid Social,Maharashtra,West,1,2023-04-09
C100262,2023-09-09,Noida,Organic Search,Uttar Pradesh,North,1,2023-10-26
C100263,2023-09-12,Madurai,Paid Social,Tamil Nadu,South,3,2023-07-04
C100264,2023-09-09,Indore,Paid Social,Madhya Pradesh,Central,2,2023-05-14
C100265,2023-07-17,Jodhpur,Paid Social,Rajasthan,North,3,2023-09-23
C100266,2025-02-14,Gurgaon,Influencer,Haryana,North,1,
C100267,2024-01-14,Jodhpur,Paid Social,Rajasthan,North,3,
C100268,2024-02-13,Agra,Referral,Uttar Pradesh,North,3,
C100269,2025-01-07,Patna,Organic Search,Bihar,East,2,2023-12-29
C100270,2024-09-11,Chennai,Influencer,Tamil Nadu,South,1,2023-10-08
C100271,2023-11-03,Nagpur,Referral,Maharashtra,West,2,2023-07-05
C100272,2024-05-17,Gurgaon,Referral,Haryana,North,1,2023-08-06
C100273,2025-02-02,Mumbai,Offline-to-Online,Maharashtra,West,1,2023-09-24
C100274,2024-04-05,Delhi,Paid Social,Delhi,North,1,
C100275,2024-11-02,Lucknow,Paid Social,Uttar Pradesh,North,2,2024-07-20
C100276,2023-08-04,Agra,Paid Social,Uttar Pradesh,North,3,2023-12-14
C100277,2024-11-12,Bhubaneswar,Influencer,Odisha,East,2,2024-10-13
C100278,2024-12-08,Noida,Organic Search,Uttar Pradesh,North,1,2024-05-14
C100279,2025-01-03,Delhi,Paid Social,Delhi,North,1,2023-06-11
C100280,2024-10-13,Chennai,Offline-to-Online,Tamil Nadu,South,1,2024-02-22
C100281,2024-04-01,Gurgaon,Organic Search,Haryana,North,1,2023-10-16
C100282,2023-06-27,Ranchi,Referral,Jharkhand,East,3,2023-04-10
C100283,2024-07-11,Chandigarh,Paid Social,Punjab,North,2,2023-05-05
C100284,2024-11-28,Chandigarh,Influencer,Punjab,North,2,
C100285,2023-11-07,Guwahati,Influencer,Assam,East,3,2023-07-29
C100286,2024-01-11,Mumbai,Paid Social,Maharashtra,West,1,2023-12-12
C100287,2024-07-22,Jodhpur,Paid Social,Rajasthan,North,3,2023-07-14
C100288,2024-11-23,Kochi,Organic Search,Kerala,South,2,2023-06-27
C100289,2025-02-09,Chandigarh,Organic Search,Punjab,North,2,
C100290,2023-09-04,Ranchi,Paid Social,Jharkhand,East,3,2023-12-11
C100291,2023-11-01,Bhubaneswar,Paid Social,Odisha,East,2,2023-12-29
C100292,2024-12-21,Noida,Paid Social,Uttar Pradesh,North,1,2023-12-16
C100293,2024-09-26,Jaipur,Organic Search,Rajasthan,North,2,2023-05-18
C100294,2024-11-08,Vijayawada,Referral,Andhra Pradesh,South,3,2023-06-21
C100295,2025-03-30,Mumbai,Organic Search,Maharashtra,West,1,2023-05-07
C100296,2025-03-02,Kolkata,Organic Search,West Bengal,East,1,2023-07-23
C100297,2025-01-12,Ranchi,Paid Social,Jharkhand,East,3,2023-06-24
C100298,2024-12-09,Kolkata,Organic Search,West Bengal,East,1,2023-08-06
C100299,2024-04-19,Vadodara,Influencer,Gujarat,West,3,2023-05-14
C100300,2024-09-24,Nashik,Offline-to-Online,Maharashtra,West,3,2023-05-27
C100301,2023-11-01,Ranchi,Referral,Jharkhand,East,3,2023-05-22
C100302,2024-11-29,Ahmedabad,Referral,Gujarat,West,1,2023-12-14
C100303,2024-11-28,Hyderabad,Organic Search,Telangana,South,1,2023-11-06
C100304,2024-11-08,Bhubaneswar,Offline-to-Online,Odisha,East,2,2023-05-16
C100305,2024-05-23,Nashik,Paid Social,Maharashtra,West,3,2024-03-13
C100306,2024-04-07,Dehradun,Organic Search,Uttarakhand,North,3,2023-06-01
C100307,2024-05-06,Dehradun,Organic Search,Uttarakhand,North,3,2023-04-17
C100308,2023-05-18,Surat,Influencer,Gujarat,West,2,2024-08-29
C100309,2025-01-13,Delhi,Influencer,Delhi,North,1,
C100310,2024-07-26,Nashik,Organic Search,Maharashtra,West,3,2023-09-08
C100311,2024-04-14,Nagpur,Paid Social,Maharashtra,West,2,2024-03-13
C100312,2024-07-30,Delhi,Organic Search,Delhi,North,1,2023-09-02
C100313,2024-11-08,Patna,Organic Search,Bihar,East,2,2023-06-20
C100314,2024-04-09,Kochi,Organic Search,Kerala,South,2,2023-08-22
C100315,2025-01-06,Raipur,Offline-to-Online,Chhattisgarh,Central,3,2023-06-02
C100316,2025-02-20,Patna,Organic Search,Bihar,East,2,2023-06-01
C100317,2024-04-13,Agra,Organic Search,Uttar Pradesh,North,3,2024-12-07
C100318,2023-09-16,Jodhpur,Organic Search,Rajasthan,North,3,2024-02-26
C100319,2024-11-30,Ranchi,Referral,Jharkhand,East,3,2023-07-19
C100320,2025-03-28,Vijayawada,Referral,Andhra Pradesh,South,3,2024-03-26
C100321,2023-09-27,Jodhpur,Paid Social,Rajasthan,North,3,2023-10-25
C100322,2024-11-03,Bengaluru,Paid Social,Karnataka,South,1,2023-06-11
C100323,2025-01-03,Delhi,Paid Social,Delhi,North,1,2024-03-15
C100324,2025-02-21,Chennai,Organic Search,Tamil Nadu,South,1,2024-03-13
C100325,2023-09-01,Gurgaon,Influencer,Haryana,North,1,2024-01-02
C100326,2023-07-29,Vadodara,Referral,Gujarat,West,3,2023-04-30
C100327,2025-03-26,Bhubaneswar,Paid Social,Odisha,East,2,2023-06-20
C100328,2023-08-25,Chennai,Organic Search,Tamil Nadu,South,1,2024-06-03
C100329,2023-10-25,Jodhpur,Paid Social,Rajasthan,North,3,2023-10-18
C100330,2024-08-15,Guwahati,Offline-to-Online,Assam,East,3,2023-08-16
C100331,2024-05-24,Nashik,Paid Social,Maharashtra,West,3,2025-01-07
C100332,2024-11-24,Bhopal,Paid Social,Madhya Pradesh,Central,2,2023-04-01
C100333,2023-11-06,Kolkata,Paid Social,West Bengal,East,1,2024-11-14
C100334,2025-02-18,Lucknow,Paid Social,Uttar Pradesh,North,2,2023-08-25
C100335,2023-12-01,Pune,Influencer,Maharashtra,West,1,2023-04-03
C100336,2024-12-04,Jaipur,Offline-to-Online,Rajasthan,North,2,2023-07-21
C100337,2023-07-01,Noida,Referral,Uttar Pradesh,North,1,2023-11-02
C100338,2024-06-12,Mumbai,Organic Search,Maharashtra,West,1,2024-11-19
C100339,2023-05-17,Chandigarh,Influencer,Punjab,North,2,
C100340,2024-02-19,Delhi,Organic Search,Delhi,North,1,
C100341,2024-02-17,Raipur,Organic Search,Chhattisgarh,Central,3,2023-07-01
C100342,2024-11-07,Jaipur,Influencer,Rajasthan,North,2,2024-08-10
C100343,2024-05-30,Ahmedabad,Organic Search,Gujarat,West,1,2024-07-15
C100344,2023-06-18,Surat,Paid Social,Gujarat,West,2,2023-04-07
